Question,Question_Subscale_or_Scale_Value,Avg_Aggregate_Description_Text_Response,Avg_Self_Comparison_Text_Response,Avg_Supervisor_Comparison_Text_Response,Avg_Subordinate_Comparison_Text_Response,Avg_Peer_Comparison_Text_Response,Coaching_Response
Ideal_Inf,3SD_Negative,Relative to the general population -3 SD Ideal_Inf.,Relative to the self-rating -3 SD Ideal_Inf.,Relative to the supervisor-rating -3 SD Ideal_Inf.,Relative to the subordinate ratings -3 SD Ideal_Inf.,Relative to the peer ratings -3 SD Ideal_Inf.,Coaching   -3 SD Ideal_Inf.
Ideal_Inf,2SD_Negative,Relative to the general population -2 SD Ideal_Inf.,Relative to the self-rating -2 SD Ideal_Inf.,Relative to the supervisor-rating -2 SD Ideal_Inf.,Relative to the subordinate ratings -2 SD Ideal_Inf.,Relative to the peer ratings -2 SD Ideal_Inf.,Coaching   -2 SD Ideal_Inf.
Ideal_Inf,1SD_Negative,Relative to the general population -1 SD Ideal_Inf.,Relative to the self-rating -1 SD Ideal_Inf.,Relative to the supervisor-rating -1 SD Ideal_Inf.,Relative to the subordinate ratings -1 SD Ideal_Inf.,Relative to the peer ratings -1 SD Ideal_Inf.,Coaching   -1 SD Ideal_Inf.
Ideal_Inf,Average,Relative to the general population Average Ideal_Inf.,Relative to the self-rating Average Ideal_Inf.,Relative to the supervisor-rating Average Ideal_Inf.,Relative to the subordinate ratings Average Ideal_Inf.,Relative to the peer ratings Average Ideal_Inf.,Coaching  Average Ideal_Inf.
Ideal_Inf,1SD_Positive,Relative to the general population +1 SD Ideal_Inf.,Relative to the self-rating +1 SD Ideal_Inf.,Relative to the supervisor-rating +1 SD Ideal_Inf.,Relative to the subordinate ratings +1 SD Ideal_Inf.,Relative to the peer ratings +1 SD Ideal_Inf.,Coaching   +1 SD Ideal_Inf.
Ideal_Inf,2SD_Positive,Relative to the general population +2 SD Ideal_Inf.,Relative to the self-rating +2 SD Ideal_Inf.,Relative to the supervisor-rating +2 SD Ideal_Inf.,Relative to the subordinate ratings +2 SD Ideal_Inf.,Relative to the peer ratings +2 SD Ideal_Inf.,Coaching   +2 SD Ideal_Inf.
Ideal_Inf,3SD_Positive,Relative to the general population +3 SD Ideal_Inf.,Relative to the self-rating +3 SD Ideal_Inf.,Relative to the supervisor-rating +3 SD Ideal_Inf.,Relative to the subordinate ratings +3 SD Ideal_Inf.,Relative to the peer ratings +3 SD Ideal_Inf.,Coaching   +3 SD Ideal_Inf.
Int_Stim,3SD_Negative,Relative to the general population -3 SD Int_Stim.,Relative to the self-rating -3 SD Int_Stim.,Relative to the supervisor-rating -3 SD Int_Stim.,Relative to the subordinate ratings -3 SD Int_Stim.,Relative to the peer ratings -3 SD Int_Stim.,Coaching   -3 SD Int_Stim.
Int_Stim,2SD_Negative,Relative to the general population -2 SD Int_Stim.,Relative to the self-rating -2 SD Int_Stim.,Relative to the supervisor-rating -2 SD Int_Stim.,Relative to the subordinate ratings -2 SD Int_Stim.,Relative to the peer ratings -2 SD Int_Stim.,Coaching   -2 SD Int_Stim.
Int_Stim,1SD_Negative,Relative to the general population -1 SD Int_Stim.,Relative to the self-rating -1 SD Int_Stim.,Relative to the supervisor-rating -1 SD Int_Stim.,Relative to the subordinate ratings -1 SD Int_Stim.,Relative to the peer ratings -1 SD Int_Stim.,Coaching   -1 SD Int_Stim.
Int_Stim,Average,Relative to the general population Average Int_Stim.,Relative to the self-rating Average Int_Stim.,Relative to the supervisor-rating Average Int_Stim.,Relative to the subordinate ratings Average Int_Stim.,Relative to the peer ratings Average Int_Stim.,Coaching  Average Int_Stim.
Int_Stim,1SD_Positive,Relative to the general population +1 SD Int_Stim.,Relative to the self-rating +1 SD Int_Stim.,Relative to the supervisor-rating +1 SD Int_Stim.,Relative to the subordinate ratings +1 SD Int_Stim.,Relative to the peer ratings +1 SD Int_Stim.,Coaching   +1 SD Int_Stim.
Int_Stim,2SD_Positive,Relative to the general population +2 SD Int_Stim.,Relative to the self-rating +2 SD Int_Stim.,Relative to the supervisor-rating +2 SD Int_Stim.,Relative to the subordinate ratings +2 SD Int_Stim.,Relative to the peer ratings +2 SD Int_Stim.,Coaching   +2 SD Int_Stim.
Int_Stim,3SD_Positive,Relative to the general population +3 SD Int_Stim.,Relative to the self-rating +3 SD Int_Stim.,Relative to the supervisor-rating +3 SD Int_Stim.,Relative to the subordinate ratings +3 SD Int_Stim.,Relative to the peer ratings +3 SD Int_Stim.,Coaching   +3 SD Int_Stim.
